[INFO]
ROAD_RUNNER_VERSION=0.5
CREATOR=rrWinC-0.1
NUMBER_OF_COLS=2
NUMBER_OF_ROWS=150
COLUMN_HEADERS=time,S1

[DATA]
0,0.0582654758004938
0.033557,0.6781112628786208
0.0671141,0.7047993949907539
0.100671,1.077699403070225
0.134228,1.767708385183879
0.167785,1.124148863381977
0.201342,1.595979743355486
0.234899,2.372571375050897
0.268456,2.17337502085956
0.302013,2.321934170376892
0.33557,3.170324477676908
0.369128,2.357966281482565
0.402685,3.292230703251287
0.436242,3.248889479681335
0.469799,2.699513962357177
0.503356,2.695871056559986
0.536913,3.196966218087442
0.57047,3.238836097753827
0.604027,3.409462116105846
0.637584,3.149770579538291
0.671141,3.405315824398895
0.704698,3.705649652448641
0.738255,3.63482292699852
0.771812,4.249983398085814
0.805369,3.697721634328057
0.838926,4.625044694469078
0.872483,4.043247250129159
0.90604,3.846962438004862
0.939597,3.896884325879508
0.973154,4.184642188120114
1.00671,4.415457291060789
1.04027,4.207425125353223
1.07383,4.44086183791622
1.10738,4.843809344473288
1.14094,4.954051292746685
1.1745,4.503469886511821
1.20805,4.689638278703605
1.24161,4.885193367408234
1.27517,4.299946572622029
1.30872,4.72156849140826
1.34228,4.660424803281376
1.37584,5.198480068729932
1.4094,4.625046538851912
1.44295,4.284775761657847
1.47651,4.812189376201981
1.51007,4.315534413743905
1.54362,4.760980724294873
1.57718,4.727276149095751
1.61074,5.237875326158199
1.6443,5.600815089366542
1.67785,4.318761730291738
1.71141,4.910575287893207
1.74497,4.910444429719779
1.77852,4.707206764832537
1.81208,5.213752689807981
1.84564,5.416894072468551
1.87919,5.109702295781155
1.91275,4.390348370171798
1.94631,4.828143106602059
1.97987,4.448237643348246
2.01342,4.790821773105939
2.04698,5.280684727436937
2.08054,5.451184451999881
2.11409,6.152410174015533
2.14765,4.278788363460737
2.18121,4.869497490057987
2.21477,4.730963482419092
2.24832,5.15528720617903
2.28188,4.566142748367781
2.31544,4.422983378242331
2.34899,5.359364761227682
2.38255,4.841872916594042
2.41611,4.453602273193792
2.44966,4.816580223637219
2.48322,4.656582564588272
2.51678,5.606489266513825
2.55034,4.582834118892858
2.58389,5.358413054546794
2.61745,5.037585812172553
2.65101,5.010047150101671
2.68456,4.4740587778492
2.71812,4.831098366349361
2.75168,5.110478523683992
2.78523,5.406622806396703
2.81879,4.821015162955469
2.85235,3.84955636141737
2.88591,5.33068293503717
2.91946,4.457110980807898
2.95302,5.089099893440706
2.98658,5.263826825274227
3.02013,5.137363913563429
3.05369,5.468545048272188
3.08725,4.878568124831146
3.12081,5.524605182380045
3.15436,4.886604661602519
3.18792,4.770206289781423
3.22148,5.004728653822274
3.25503,5.96102300691395
3.28859,4.739755869682671
3.32215,4.219066375817334
3.3557,5.267931444647911
3.38926,5.131554352206982
3.42282,5.198859840560068
3.45638,5.526803174575454
3.48993,5.25165668211094
3.52349,5.025769485188667
3.55705,5.23626131298009
3.5906,5.348796866788495
3.62416,4.913142022821413
3.65772,5.430708114414467
3.69128,5.502394268211688
3.72483,5.210185306316648
3.75839,4.940425421771406
3.79195,4.470056455834484
3.8255,6.074688947921385
3.85906,4.900235208799796
3.89262,5.528227141152619
3.92617,4.678299243366317
3.95973,4.854321398962651
3.99329,4.693375919300093
4.02685,5.079449489237679
4.0604,5.015702423793794
4.09396,4.70803660666891
4.12752,5.077026819818495
4.16107,5.268065312812933
4.19463,4.76519133844461
4.22819,4.947124097295847
4.26174,5.181903572895836
4.2953,4.823406593053663
4.32886,5.937215809206706
4.36242,5.389886357475535
4.39597,4.46174030872919
4.42953,5.137726744785479
4.46309,5.071354516498011
4.49664,4.972575109929679
4.5302,5.367046106476844
4.56376,5.373614524156654
4.59732,5.808062852861663
4.63087,5.179565409978449
4.66443,4.860756885037591
4.69799,5.479590909331817
4.73154,4.835465486149173
4.7651,4.102564137893276
4.79866,4.48084878713809
4.83221,4.780026732616937
4.86577,5.135013746875311
4.89933,6.122314311172008
4.93289,4.76220788442304
4.96644,5.586151299813839
5,5.14698369921444

[WEIGHTS]
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
