[INFO]
DATA_FORMAT_VERSION=1.0
CREATOR=tellurium
NUMBER_OF_COLS=3
NUMBER_OF_ROWS=15
COLUMN_HEADERS=time,[S1],[S2]
COMMENTS=

[DATA]
0,0.1537886153542533,-0.0003474405144366327
0.107143,0.1294408301823471,0.03699813228651734
0.214286,0.1165925612601366,0.06917755279740408
0.321429,0.09672933667804703,0.0964157057930377
0.428571,0.08792165089358839,0.1193204115132711
0.535714,0.08585810102073244,0.1330060974920053
0.642857,0.07887271357424591,0.1433421799707193
0.75,0.06993566523003546,0.1523176882280392
0.857143,0.07180442942124622,0.1589571584963906
0.964286,0.06419383493862987,0.1652122274159995
1.07143,0.06058740056096165,0.1706846360859317
1.17857,0.06621627981202388,0.171220259007149
1.28571,0.05942103262620888,0.1711273127128729
1.39286,0.06694681392137665,0.1742557804809431
1.5,0.06044600288255687,0.1798578506609863

[WEIGHTS]
1,6.25e-006,6.25e-006
1,6.25e-006,6.25e-006
1,6.25e-006,6.25e-006
1,6.25e-006,6.25e-006
1,6.25e-006,6.25e-006
1,6.25e-006,6.25e-006
1,6.25e-006,6.25e-006
1,6.25e-006,6.25e-006
1,6.25e-006,6.25e-006
1,6.25e-006,6.25e-006
1,6.25e-006,6.25e-006
1,6.25e-006,6.25e-006
1,6.25e-006,6.25e-006
1,6.25e-006,6.25e-006
1,6.25e-006,6.25e-006
