[INFO]
DATA_FORMAT_VERSION=1.0
CREATOR=tellurium
NUMBER_OF_COLS=3
NUMBER_OF_ROWS=5001
COLUMN_HEADERS=time,[S1],[S2]
COMMENTS=

[DATA]
0,-0.1097749059978345,0.3092031292968617
0.002,0.3383524462322337,-0.09991180052042467
0.004,-0.02273002905903465,-0.6098829499266142
0.006,-0.1937865470361672,-0.2839605632694428
0.008,-0.0912775118132232,0.2892464411237036
0.01,-0.174700677804328,0.2609384221594548
0.012,-0.5243432432008758,-0.08624656024190307
0.014,-0.2405142122338417,-0.05151925138445697
0.016,-0.1586275124017378,0.1577077681308277
0.018,0.3708358087350994,-0.1998784007425192
0.02,-0.05454093754087192,0.3475997689570917
0.022,-0.4990785161280515,-0.211690261619301
0.024,0.1209709888203396,-0.0433482831309018
0.026,0.2864206239859538,0.2739696210164875
0.028,0.2090720320791807,-0.4317892999753097
0.03,0.2809520842983524,-0.320903270563377
0.032,-0.08572793165192309,-0.07395530443507439
0.034,0.06922941237213223,-0.4842953006769039
0.036,0.01164827408292975,-0.1060241337166329
0.038,-0.07592856136677254,-0.2150346286180815
0.04,0.3792930946687586,0.2568654391189051
0.042,-0.3892523099642897,-0.268679896624022
0.044,-0.1483346315180585,0.02081051275968551
0.046,-0.08674429844785787,0.7650576456055558
0.048,0.4489568193701561,-0.5197753976502226
0.05,0.6381177461289326,-0.2562868275015837
0.052,0.4396241010714777,-0.1385699743700927
0.054,-0.044523108134983,0.7024026706037826
0.056,0.5602189169860745,0.1925846160075003
0.058,-0.1725146174535593,0.02401422543479785
0.06,0.09728234930671616,0.0885329794017727
0.062,-0.2220073331287797,-0.2400979250243226
0.064,0.217546340462853,-0.4018547217552392
0.066,0.3117487711268742,0.4563862438852671
0.068,0.3036000074593013,-0.08002710337981822
0.07,-0.08311004014500953,0.3463143137850908
0.072,0.3148732808975048,0.1054279246214197
0.074,0.2551128159752987,-0.2480436680662364
0.076,0.1078887984278949,0.001046042949354991
0.078,0.02799479459519706,-0.1568959560055724
0.08,0.03521625514862248,0.2598133202901646
0.082,-0.05693278480614761,0.5391901807621702
0.084,-0.2875436710170341,0.3682502216356812
0.086,0.5556406756693642,0.2397321556439688
0.088,0.1354943390268547,0.2949323940135794
0.09,-0.221773902948609,-0.4202617411045925
0.092,0.2535281592547768,-0.05321353273964784
0.094,-0.09101138534165384,-0.2754827831714127
0.096,0.2783213937359434,0.1732596802746399
0.098,-0.4747942927073762,0.3030897654145001
0.1,0.4060782366966241,0.2135409460308826
0.102,-0.3047467772332783,0.08744222255941814
0.104,-0.3645822352027405,-0.2565894629336717
0.106,0.2899403007801936,0.1965967774071875
0.108,-0.09477992707633368,-0.1278120245406403
0.11,0.1244338230276208,-0.1207933077306657
0.112,-0.3496458733153193,-0.1533160778821243
0.114,-0.3382031692828058,0.06402002394752562
0.116,0.1635947561527139,-0.2113656388876565
0.118,-0.1365487171893287,-0.1462912132330958
0.12,0.6358488652664822,0.06136064283603442
0.122,0.345509931455445,0.0009994379345262983
0.124,-0.1939792673244279,-0.5397526994372688
0.126,0.1652750117942113,-0.1785105554716874
